userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
Zens Grt,Kenapa sih metode refund nya harus blipay mana lama banget kenapa gak dana aja coba,1,,2023-07-01 12:57:47,"Hai sobat tiket, terima kasih untuk saran dan masukannya. Terima kasih juga sudah luangkan waktu berikan ulasan untuk kami. Tujuan refund ke Blipay untuk mempermudah proses refund, tim kami akan selalu lakukan pengembangan agar ke depannya bisa lebih baik lagi jadi tidak menutup kemungkinan proses refund bisa lebih cepat. Terima kasih 😊by : FA",2023-07-02 03:10:31,
leon devan,Harga lebih mahal dari yg tertera...resek,1,,2023-07-01 11:23:30,"Hai Leon, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : PY
",2023-07-01 12:50:06,
FZ,"Lumayan efisien buat pesan tiket pesawat dan liat harga tiket ditanggal tertentu, tapi ""Gila sih dana refund potongan nya gede banget hampir 50%""",2,4.60.0,2023-07-01 11:02:28,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan.Bisa kamu informasikan Order ID dan alamat email pemesanan kamu kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”.Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu.Terima kasih😊by :PY
",2023-07-01 12:58:52,4.60.0
Arsyad_asaka Chanel,Stasiun kereta nya gk lengkap wlek,1,4.60.0,2023-07-01 05:56:14,"Hai sobat tiket, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : RD",2023-07-01 06:16:48,4.60.0
Laela Sofiyatun,Mantap,5,4.60.0,2023-07-01 01:11:40,,,4.60.0
Nida Nurshofa,Sukak!,5,,2023-07-01 00:52:23,,,
Pinky Rose,🙏🙏,5,,2023-06-30 19:57:26,,,
Good People (Bestfriend),"Suka aneh2 mancing2 hrg murah,tp skali masuk hrg lgsg berubah",2,4.60.0,2023-06-30 16:40:05,"Hai sobat tiket, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : RD",2023-06-30 23:49:00,4.60.0
Rizki Riyadi,Pelayanan'a bagus.. langsung sigap menjawab dan sopan sesuai dengan yang di tanyakan oleh saya..,5,4.60.0,2023-06-30 15:48:18,,,4.60.0
Eko Pradana,Ok,5,4.60.0,2023-06-30 15:12:14,,,4.60.0
Dewi Ratna Dama Lero,Aplikasi Terbaik. Sangat Membantu. Jd mudah Pesan Tiket kalo mau kemana-mana. Hanya tolong dong Sy daftar paylater kok gak jadi terus ya. Di tolak mulu. Gak jelas,5,4.49.2,2023-06-30 12:47:23,,,4.49.2
Rama Suryana,Top,5,4.60.0,2023-06-30 07:58:13,,,4.60.0
Lalyn lolina,"Sangattttt buruk, saya melakukan refund, dana yang saya bayar 1.479.000 tapi katanya dipotong lain lain yang tidak jelas jadi 1.079.000. Jadi dana refundnya 75% dri 1.079.000... wow,, sangattt tidakkkk masuk akalll.. apalikasi sangatttt tidak direkomendasikannn",1,4.60.0,2023-06-30 07:06:34,"Hai Lalyn, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : RD",2023-06-30 23:47:01,4.60.0
Alter Rambi,Penarikan saldo dari Blipay sudah hampir 1 minggu dananya tidak masuk rekening,2,4.60.0,2023-06-30 01:10:44,Hai sobat tiket. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Untuk penarikan saldo Blipay ke rekening membutuhkan estimasi waktu maksimal 1-3 hari kerja sejak penarikan dilakukan. Kamu bisa respon kembali informasi dari tim terkait kami melalui email yang dikirimkan. Terima kasih 😊 by : AF,2023-06-30 07:56:12,4.60.0
GAOS PRASETYA,Cobain sendiri aja pakai aplikasi ini dan rasakan pengalaman yg sangat luar biasa. Sudah booking sebelum berangkat. Perjalanan jauh. Ditengah perjalanan dikabari villa nya sedang ada perbaikan. Booking lg villa yg lain lewat aplikasi ini juga.. Datang malam. Begitu sampai di villa. Ternyata sudah ada yg nempatin duluan. Akhirnya cari hotel seadanya aja. Aplikasi yg sangat luar biasa,1,,2023-06-29 23:47:00,"Hai sobat tiket, maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail pertanyaan atau kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AF",2023-06-30 08:02:48,
rumaida tumanggor,the best,5,4.60.0,2023-06-29 14:52:18,,,4.60.0
Bermanfaat Bersama,Good update for member,5,4.60.0,2023-06-29 14:04:33,,,4.60.0
Masrul Syah,Nggak usah di instal..karena untuk refand hotel dan harga hotel nya berbeda dgn pembelian langsung sampai dengan 200 persen.,1,4.60.0,2023-06-29 11:51:24,"Hai Masrul, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-06-29 12:20:05,4.60.0
Yosafat Kemal,Bu6o,2,,2023-06-29 02:44:46,"Hai Yosafat, terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail pertanyaan atau kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AF",2023-06-29 06:16:53,
Andit Ciklian,Layanan bagus,5,4.60.0,2023-06-28 23:03:59,,,4.60.0
Uus Usaeri,Mantap,5,4.60.0,2023-06-28 16:42:01,,,4.60.0
Danang Wijaya,Tidak rekomendasi banget Sumpah,1,,2023-06-28 14:41:00,"Hai Danang, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AF",2023-06-29 05:59:54,
Anna Kenyta,"Aplikasinya sering error , tolong diperbaikin lah. Sebel bgt klo udh muncul tulisan MAAF YA , ADA SEDIKIT GANGGUAN , tenang bla bla bla😌. Ditunggu lama pun tdk kunjung slese itu gangguan .",1,4.54.0,2023-06-28 14:19:43,"Hai Anna, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-06-29 06:12:32,4.54.0
Herlina Hidayati,Sering tidak update. Di aplikasi unit ready tp begitu konfirmasi ke pemilik ternyata sdh booked. Nyangkut lah uang kita sampai 2x. Hati hati yg lain ya...,2,,2023-06-28 04:17:32,"Hai Herlina, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AF",2023-06-29 06:06:38,
01 - Adi Kurnia H,"Biaya jasa mahal bgt, mending ke aplikasi oren",1,4.60.0,2023-06-28 02:51:16,Hai Sobat tiket. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Mari Ceritakan pengalaman kamu melalui Customer Care 24 jam kami yang dapat kamu hubungi via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih😊 by:SW,2022-02-28 09:22:42,4.60.0
sony aprizal,"Kebijakan blibli tiket rewards , jika merubah no telp di salah satu akun",1,4.15.1,2023-06-28 02:37:27,"Hai Sony, Kami memahami kendala yang kamu alami. Kami sampaikan untuk menautkan akn tiket.com dengan Blibli agar dapat menggunakan Blibli Tiket reward harus dengan nomor dan email yang sama ya sobat. Info selengkapnya cek tautan tinyurl.com/racesyrw. Semoga informasinya membantu. Terima kasih 😊 by : IV",2023-06-29 08:29:22,4.15.1
Ami Vandem,"lama lama ni aplikasi kaya nipu pesen tiket ke taman safari ambil tgl26 juni BUAT LIBURAN ANAK2 coba cari harga murah pas sudah bayar 8tiket brubah jadi tgl17 juli sumpah nyesek banget ga bisa refund komplen pun tidak di bantu 1, 876, 000 melayang liburan pun gagal KECEWA",1,4.56.0,2023-06-27 17:49:51,"Hai Ami, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : RD",2023-06-28 02:39:50,4.56.0
Yorex MC,Saran saya tolong tambahkan metode pembayaran QRIS pada aplikasi maupun website.,3,4.60.0,2023-06-27 12:09:56,"Hai sobat tiket, Terima kasih atas masukan yang diberikan dan sudah meluangkan waktu untuk memberikan ulasan. Kamu juga bisa kirimkan kritik dan saran berhargamu kepada kami dengan mengisi tautan berikut: go.tiket.com/feedback ya. Semoga kami bisa lebih baik lagi dan memberikan kenyamanan untuk pengguna. Terima kasih 😊 by : AR",2023-07-02 21:35:36,4.60.0
Erni Yanti,"Kecewa naik kelas ke DIAMOND berharap dapat banyak disc hotel bintang 4 keatas lebih murah dari kelas dibawahnya malah sebaliknya yg dikasih benefit malah hotel2 sekelas melati walau di tulisnya bintang 3, pas check harga hotel hotel favorit gue bintang 4 dan 5 malah lebih mahal dari harga tetangga sebelah bahkan harganya sepertinya lebih tinggi dari sebelumnya .... jika kenaikan kelas ke platinum dan diamond tidak mendapatkan harga lebih murah sebaiknya ditiadakan saja levelnya",3,,2023-06-27 12:03:55,"Hai Erni Yanti, Mohon maaf atas ketidaknyamanannya. Terima kasih sudah meluangkan waktu untuk memberikan ulasan dan juga atas masukan yang diberikan. Kamu juga bisa kirimkan kritik/saran berhargamu kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Semoga kamu tetap menjadi pelanggan setia tiket.com. Terima kasih😊 by : AR",2023-07-02 21:25:46,
Arta Hutagaol,Sangat mengecewakan layanan cust care nya!,1,,2023-06-27 11:47:45,"Hai Arta, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : RD",2023-06-28 02:31:29,
Irvan Verdian Onnassis,"CS Tidak komunikatif awal pakai robot semua yg jawab saat butuh petunjuk, begitu jga dengan penginapan tujuan adminnya tdk respon, apa karena tidak bekerja sama dgn aplikasi ini lgi",1,4.59.0,2023-06-27 08:54:20,"Hai Irvan, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : RD",2023-06-28 02:29:55,4.59.0
Email Sembarang,Bagus,5,4.60.0,2023-06-26 20:02:00,,,4.60.0
Cold Sensei,"Proses refund saya berlangsung cepat, costumer service dengan respon cepat, pembelian tidak ada kendala, terimakasih banyak.",5,4.60.0,2023-06-26 11:33:47,,,4.60.0
MAKAN ENAK,Sistem refund cepat dan gak ribet..luar biasa,5,4.60.0,2023-06-26 11:20:58,,,4.60.0
Rully Anantama,menyenangkan,5,4.60.0,2023-06-26 05:55:27,,,4.60.0
tri tanu,Ga tau klo sekarang,3,4.23.0,2023-06-26 05:02:52,"Hai Tri, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : NH",2023-06-27 07:20:50,4.23.0
Teuku Akmal,"Aplikasi ga jelas, cek penerbangan malah tidak tersedia.",1,4.60.0,2023-06-26 02:23:52,"Hai Teuku, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : NH",2023-06-27 06:55:42,4.60.0
Petrus Redika Ge'e,Poin ngga bisa digunakan!,1,4.60.0,2023-06-26 02:01:48,"Hai Petrus, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : NH",2023-06-27 07:03:37,4.60.0
Lukman 3r,Cukup membantu untuk perjalanan,5,4.60.0,2023-06-25 17:53:13,,,4.60.0
Javas Axel,Tiket paylater lagi eror kah?,3,4.60.0,2023-06-25 15:39:59,"Hai Javas, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : RD",2023-06-25 23:38:50,4.60.0
Okto Ferry Silitonga,Banyak pengalaman yang menanjubkan,5,4.60.0,2023-06-25 14:38:25,,,4.60.0
Disk Jockey,PROSES REFOUND LAMA. SUDAH DI ACC MASKAPAI. MASIH AJA BELUM MASUK DANA. KALIAN MAU VIRAL YA,1,4.60.0,2023-06-25 05:05:32,"Hai sobat tiket, jangan khawatir saat ini refund kamu sedang dalam proses dan sesuai e-mail informasi dari tim terkait kami kepada kamu estimasi refund 14 hari kalender namun tidak menutup kemungkinan refund dapat berjalan lebih cepat dari waktu yang telah ditentukan sobat. Besar harapan kami agar refund segera kamu terima.

Terima kasih 😊 By : RD",2023-06-25 23:23:25,4.60.0
Rudi Satunol-Sumbagut,Good,5,4.60.0,2023-06-24 22:44:40,,,4.60.0
Anwar Solihin,Pasang iklan se enak nya di gogle map dengan harga yg gax ngotak,1,4.60.0,2023-06-24 15:05:37,"Hai Anwar, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : PY
",2023-06-25 15:17:29,4.60.0
Dimas Khairurrahman,"tiap pesan pesawat harus non aktif kan asuransi, karna asuransi defult nya terpilih. Dan posisi untuk non aktifkan asuransi nya tersembunyi",1,4.54.0,2023-06-24 08:25:20,"Hai Dimas, Mohon maaf atas ketidaknyamanannya. Untuk pilihan asuransi Perlindungan Penuh akan tertera pada saat setelah kamu memilih penerbangan dan mengisi data penumpang ya sobat, jika kamu tidak setuju untuk pilihan Perlindungan Penuh kamu bisa membatalkannya ya dengan klik ""Batalkan"" pada menu Perlindungan Ekstra ya.Terima kasih 😊 by : PY",2023-06-24 09:27:34,4.54.0
Irval Zulphi,Lebuh mudah dan praktis,5,4.60.0,2023-06-23 20:48:10,,,4.60.0
Haerul Arf,Sya sudah bayar tapi ticket tdk terbit,2,4.60.0,2023-06-23 07:05:30,"Hai Haerul,
Maaf untuk kendala yang kamu alami. Terima kasih juga sudah luangkan waktu berikan ulasan untuk kami. Boleh ceritakan detail keluh kesahmu bersama kami melalui email sobat ? Kami akan bantu cek dan berikan solusi, silakan kirim ke cs@tiket.com dengan subject:“Konfirmasi Review App”. Semoga kendala segera teratasi. Terima kasih😊 by : FA",2023-06-23 07:40:24,4.60.0
Shita Kenzie,temanku jdi korban g bisa refund uangnya padahal yg cancel maskapainya. tidak recommend👎,1,,2023-06-23 06:31:19,"Hai Shita,
Kami turut menyayangkan adanya pembatalan dari pihak maskapai. Terima kasih sudah luangkan waktu berikan ulasan untuk kami. Mohon untuk sampaikan ke temanmu sobat silakan ceritakan detail kendalanya bersama kami melalui email di cs@tiket.com dengan subject:“Konfirmasi Review App”. Semoga kendala tidak berulang. Terima kasih😊by : FA",2023-06-23 07:30:34,
Rifanji Ismatul,mantap dan sangat membantu,5,4.60.0,2023-06-23 05:22:38,,,4.60.0
Cici apriliyanti,Kok nggak bisa melakukan pembayaran yah? Padahal waktu pemesanan belum habis🥴,2,4.60.0,2023-06-22 20:17:59,"Hai Cici Aprilyanti,
Kami turut menyayangkan kamu alami kendala saat ingin melakukan pembayaran. Terima kasih ya sudah luangkan waktu berikan ulasan untuk kami. Pastikan appsmu sudah dengan versi terbaru, coba log out, clear cache, refresh dan log in kembali ya sobat. Pastikan juga signal dan jaringan internetmu stabil. Terima kasih 😊 by : FA",2023-06-23 06:50:29,4.60.0
Johanna Merlinawati,Lebih murah dan fleksible di applikasi lain. Mohon maaf saya mau pindah beli di tempat lain saja. Terakhir x saya beli disini. Abis ni mau un install.. BYE,1,4.60.0,2023-06-22 15:58:54,"Hai Johanna,
Terima kasih untuk saran dan masukannya. Jika kamu alami kendala, kamu bisa juga konsultasikan dengan customer care kami lho sobat. Saat ini kami sudah 24/7 atau kamu bisa juga ceritakan melalui email di cs@tiket.com dengan subject:“Konfirmasi Review App”. Semoga kendala tidak berulang. Terima kasih😊by : FA",2023-06-23 06:43:12,4.60.0
Lianti Mo,Tidak recomended pokoknxa👎👎👎,1,,2023-06-22 13:49:29,"Hai Lianti,
Maaf jika kami ada kecewakanmu. Terima kasih ya sudah luangkan waktu berikan ulasan untuk kami. Boleh ceritakan ke kami sobat kendala yang kamu alami ? Kami siap bantu kamu 24/7, silakan kirimkan melalui email ke cs@tiket.com dengan subject:“Konfirmasi Review App”. Semoga kendala tidak berulang. Terima kasih😊by : FA",2023-06-23 06:35:44,
Muhammad Iqbal,"Harga kompetitif, banyakin promo dengan syarat yang mudah, sehingga bisa banyak transaksi pembelian",5,4.60.0,2023-06-22 09:51:53,,,4.60.0
Aprilia Dalawer,Lama respon.... Mohon segera di bantu,1,4.59.0,2023-06-22 08:27:50,"Hai Aprilia,
Maaf ya jika respon kami dinilai lambat, terima kasih juga kamu sudah luangkan waktu berikan ulasan untuk kamu. Kuy sobat ceritakan detail kendalamu bersama kami melalui email di cs@tiket.com dengan subject:“Konfirmasi Review App”. Kami akan bantu berikan solusinya. Semoga kendala tidak berulang. Terima kasih😊by : FA",2023-06-23 02:45:50,4.59.0
fuadi Maswar,Menarik dan memudahkan,5,,2023-06-22 05:41:41,,,
Yusup Rahman,nama tehsri Yuni fertiwi mau naik kereta AFI beneran,1,,2023-06-22 05:39:49,"Hai Yusup Rahman,
Terima kasih sudah luangkan waktumu berikan ulasan untuk kami. Jika alami kendala saat pesan atau bertransaksi dengan kami jangan sungkan hubungi customer care kami ya, kami siap bantu kamu 24/7 lho. Have a great day. Terima kasih 😊 by : FA",2023-06-22 07:32:19,
Anugrah Rizky,Apk payah udah bayar ke aplikasi ini tapi ditagih lagi sama pihak hotelnya,1,4.60.0,2023-06-22 04:20:09,"Hai Anugrah Rizky,
Maaf ya untuk pengalamannya yang kurang mengenakkan. Terima kasih sudah luangkan waktu berikan ulasan untuk kami. Tenang ya, kami akan bantu berikan solusinya. Mari sobat ceritakan detail keluhanmu bersama kami melalui email di cs@tiket.com dengan subject:“Konfirmasi Review App”.Semoga kendala tidak berulang.Terima kasih😊by : FA",2023-06-22 06:51:40,4.60.0
Muhammad Ario,perbanyak diskonnya lagi,5,4.60.0,2023-06-22 03:03:45,,,4.60.0
Ednan S. Noholo,Good app,5,4.60.0,2023-06-22 01:08:38,,,4.60.0
Dude Dwe prasetyo,Yes sex lafe bebas tanpa sensor,5,,2023-06-21 18:21:25,,,
WarfStone,"Saya terkena penipuan hotel,hotelnya ada di aplikasi namun setelah mengikuti map nya hotelnya tidak ada alias di tipu,cukup mengecewakan bahkan ngurusnya ribet banget alias ga dapat kembali uangnya, untuk teman"" berhati hati klo bisa unduh aplikasi yang sesuai standar.,bayangkan hotel palsu saja masih bisa lolos dan berlisensi sehingga saya pun percaya"" aja",1,,2023-06-21 18:18:18,"Hai sobat tiket,
maaf untuk pengalamannya yang tidak menyenangkan. Terima kasih juga sudah luangkan waktu berikan ulasan untuk kami. Boleh ceritakan detail keluh kesahmu dengan kami melalui email sobat ? Mohon kirimkan melalui email ke cs@tiket.com dengan subject: “Konfirmasi Review App”. semoga kendala tidak berulang. Terima kasih😊by : FA",2023-06-21 23:26:08,
Febrianti Annisa amelia,Hhhf Elissa Mm mm. Mi oleh o,1,,2023-06-21 14:36:11,"Hai Febrianti,
Terima kasih sudah luangkan waktu berikan ulasan untuk kami. Jika kamu alami kendala jangan sungkan hubungi customer care kami ya, kami siap bantu kamu 24/7 lho. Have a great day. Terima kasih 😊 by : FA",2023-06-21 23:34:47,
Arviando Sanjaya,harga sampai hotel di suru bayar lg (biaya pajak),1,4.60.0,2023-06-21 10:26:36,"Hai Arviando, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : NH",2023-06-21 12:16:57,4.60.0
Jaguar Jack,Sangat jelek,1,4.60.0,2023-06-21 08:41:50,"Hai sobat tiket, Kami memahami kendala yang kamu alami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : NH",2023-06-21 09:16:50,4.60.0
Ahmad,Harga kompetitif,5,4.60.0,2023-06-21 08:03:02,,,4.60.0
Daffa Arif,Saya suka traveling,5,4.59.0,2023-06-20 17:58:03,,,4.59.0
tengku riady,Buruk sekali Dan memakan hak orang 90%,1,4.59.0,2023-06-20 11:06:46,"Hai Riady, Mohon maaf atas ketidaknyamanannya. dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Terkait dengan kendala kamu sudah kami bantu teruskan kembali dan akan ditindaklanjuti segera ya sobat. Semoga segera mendapatkan konfirmasinya ya. Terima kasih 😊 by : FZ",2023-06-20 13:06:51,4.59.0
Kang Asadp,Ok,5,4.59.0,2023-06-20 03:25:08,,,4.59.0
Sella Uta,Ga sesuai,1,,2023-06-20 02:16:12,Hai Sella. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : FZ,2023-06-20 13:13:23,
Farr hanz,Sangat membantu ..,5,4.60.0,2023-06-19 04:01:27,,,4.60.0
MIX MOMENT,setelah update error pembayaran,5,4.59.0,2023-06-19 01:14:16,"Hai sobat tiket,
Maaf kamu alami kendala pada apps, terima kasih juga sudah luangkan waktu berikan ulasan untuk kami. Jika ada kendala jangan sungkan hubungi kami ya sobat, kamu juga bisa ceritakan kendalamu berasama kami melalui email di cs@tiket.com dengan subject: “Konfirmasi Review App”. Terima kasih 😊 by : FA",2023-06-13 03:47:56,4.59.0
